                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.5019,                 3.7655,                 1.4325,                 0.0366,                0.29182,                 0.2026,                0.16145,                 2.0656,                  3.866,                 1.1478,             0.00018577,             0.00018577,             0.00018577
                      2,                 2.0345,                  2.123,                 1.1535,                0.03511,                0.51062,                0.34699,                0.21409,                 1.8892,                  3.332,                 1.0583,             0.00038201,             0.00038201,             0.00038201
                      3,                 1.7401,                 1.4835,                 1.0793,                0.18462,                0.73944,                0.53428,                0.31033,                 1.8427,                 2.8025,                 1.0358,             0.00057429,             0.00057429,             0.00057429
                      4,                 1.7058,                 1.3239,                 1.0811,                0.22672,                0.81213,                0.66335,                0.42155,                 1.9269,                 2.3645,                 1.0393,             0.00076261,             0.00076261,             0.00076261
                      5,                 1.6598,                 1.3197,                 1.0554,                0.35613,                0.76723,                0.66389,                0.45302,                 1.8707,                 2.0467,                 1.0348,             0.00094696,             0.00094696,             0.00094696
                      6,                 1.6103,                 1.2298,                 1.0271,                0.67462,                0.57059,                0.71383,                 0.4341,                 1.9056,                 1.7123,                  1.057,              0.0011274,              0.0011274,              0.0011274
                      7,                 1.5963,                 1.1705,                  1.029,                0.68527,                 0.5971,                0.73584,                 0.4582,                 1.9268,                  1.576,                 1.0572,              0.0013038,              0.0013038,              0.0013038
                      8,                 1.5735,                 1.1675,                 1.0179,                0.78068,                0.77899,                0.81432,                0.56647,                  1.719,                 1.1388,                0.99926,                0.00133,                0.00133,                0.00133
                      9,                 1.4565,                   1.08,                 1.0178,                 0.7682,                0.73693,                0.79651,                0.55302,                 1.7596,                 1.0875,                 1.0111,              0.0013158,              0.0013158,              0.0013158
                     10,                 1.4463,                 1.0285,                 1.0131,                0.71973,                 0.7078,                0.77546,                0.50372,                 1.8439,                 1.1134,                 1.0039,              0.0013017,              0.0013017,              0.0013017
                     11,                 1.3932,                0.97799,                0.99923,                 0.7262,                0.74039,                0.77112,                0.47606,                  1.894,                 1.1116,                  1.009,              0.0012875,              0.0012875,              0.0012875
                     12,                 1.4493,                 1.0421,                0.98186,                0.84272,                0.82134,                0.87505,                0.64294,                 1.5289,                0.98489,                0.96648,              0.0012734,              0.0012734,              0.0012734
                     13,                 1.5282,                 1.0718,                  0.997,                0.82207,                0.82733,                0.85889,                0.58512,                 1.6306,                0.98724,                0.96721,              0.0012592,              0.0012592,              0.0012592
                     14,                  1.402,                0.95611,                0.99119,                0.89536,                0.86091,                 0.9153,                0.67913,                 1.3791,                0.84144,                0.93868,              0.0012451,              0.0012451,              0.0012451
                     15,                 1.3763,                0.92876,                0.96735,                0.89482,                0.84011,                0.91163,                 0.6835,                 1.3941,                0.86744,                0.93865,              0.0012309,              0.0012309,              0.0012309
                     16,                 1.3265,                0.90108,                0.96544,                0.90356,                 0.8639,                0.92312,                0.70648,                 1.2724,                0.80892,                0.92312,              0.0012168,              0.0012168,              0.0012168
                     17,                 1.3169,                0.91709,                0.96549,                0.84066,                0.84035,                0.90941,                0.68614,                 1.4203,                0.90801,                0.92792,              0.0012026,              0.0012026,              0.0012026
                     18,                  1.327,                0.91527,                0.95744,                0.86986,                0.85707,                0.93958,                0.74695,                 1.2172,                0.77882,                0.91727,              0.0011885,              0.0011885,              0.0011885
                     19,                 1.3112,                0.86103,                0.97163,                0.88873,                0.84639,                0.93792,                0.73553,                 1.2481,                0.78628,                0.91688,              0.0011744,              0.0011744,              0.0011744
                     20,                 1.3346,                0.89025,                0.95241,                 0.9101,                 0.8597,                0.93924,                0.75808,                 1.1897,                0.76147,                0.91122,              0.0011602,              0.0011602,              0.0011602
                     21,                 1.2668,                0.84036,                0.95716,                0.91212,                0.87581,                0.94206,                0.76343,                 1.2331,                0.74177,                0.91216,              0.0011461,              0.0011461,              0.0011461
                     22,                 1.3225,                0.89999,                0.94645,                0.90492,                0.86783,                0.93997,                 0.7466,                 1.2144,                 0.7759,                0.90925,              0.0011319,              0.0011319,              0.0011319
                     23,                 1.2646,                0.84372,                0.95728,                0.90718,                0.89658,                  0.945,                0.77046,                 1.1658,                0.73331,                0.90771,              0.0011178,              0.0011178,              0.0011178
                     24,                 1.2333,                0.80654,                0.93574,                0.90835,                0.90336,                0.94581,                0.74969,                 1.2271,                0.74939,                0.91132,              0.0011036,              0.0011036,              0.0011036
                     25,                 1.2082,                0.80902,                0.94597,                0.93537,                0.92097,                0.95284,                0.77762,                 1.1584,                0.70475,                 0.9028,              0.0010895,              0.0010895,              0.0010895
                     26,                 1.1979,                 0.8024,                0.94594,                0.92631,                0.89622,                 0.9455,                0.73681,                 1.2155,                0.73939,                0.90806,              0.0010753,              0.0010753,              0.0010753
                     27,                 1.2785,                0.84588,                0.93393,                0.92788,                0.89638,                0.94782,                0.72711,                 1.2222,                0.73685,                0.90563,              0.0010612,              0.0010612,              0.0010612
                     28,                 1.2439,                0.79578,                0.92937,                0.93436,                0.91284,                0.95394,                0.78152,                   1.11,                 0.6918,                0.90147,               0.001047,               0.001047,               0.001047
